City,Price,Room Type,Person Capacity,Multiple Rooms,Business,Bedrooms,City Center (km)
Amsterdam,319.40571321444475,Private room,2.0,0,0,1,0.3530819578031284
Amsterdam,209.03147189089125,Private room,2.0,1,0,1,4.687725165015746
Amsterdam,209.03147189089125,Private room,2.0,1,0,1,4.612475562748068
Amsterdam,640.4518079347597,Entire home/apt,2.0,0,0,1,1.7326208039228015
Amsterdam,209.03147189089125,Private room,2.0,1,0,1,4.68689685387767
Amsterdam,934.0800974855296,Private room,4.0,1,0,1,1.1199150496750092
Amsterdam,210.2031729665128,Private room,2.0,1,0,1,2.478895351747357
Amsterdam,221.2171630773557,Private room,2.0,0,0,1,6.058988674664705
Amsterdam,441.2626250790898,Private room,2.0,1,0,1,0.7922262181442554
Amsterdam,325.498558807677,Private room,2.0,1,0,1,0.9249996021423226
Amsterdam,792.7729477655661,Entire home/apt,4.0,0,0,2,5.902076232094142
Amsterdam,213.95261640850188,Private room,2.0,0,0,1,7.01790675436861
Amsterdam,1557.19072950109,Entire home/apt,4.0,0,0,2,0.7503945779761707
Amsterdam,317.0623110632016,Private room,2.0,0,0,1,3.4008968845053844
Amsterdam,319.6400534295691,Entire home/apt,2.0,0,0,1,3.403098485949505
Amsterdam,1044.6886790242074,Entire home/apt,2.0,0,0,1,3.0030686360809
Amsterdam,310.9694654699693,Entire home/apt,2.0,0,0,1,3.571400786708212
Amsterdam,295.0343308415157,Entire home/apt,2.0,0,0,1,4.6654114118221015
Amsterdam,344.2457760176224,Entire home/apt,2.0,0,0,0,4.157070172595494
Amsterdam,3004.9445785391235,Entire home/apt,4.0,0,0,4,1.61529472873922
Amsterdam,539.2168350010546,Entire home/apt,2.0,0,0,1,3.7813310591990335
Amsterdam,460.9472031495325,Private room,2.0,0,0,1,0.5851829316999698
Amsterdam,1376.514423640241,Entire home/apt,4.0,0,1,2,1.9307016592209525
Amsterdam,415.4852014154149,Entire home/apt,4.0,1,0,1,5.0392331758922175
Amsterdam,215.12431748412348,Private room,2.0,0,0,1,3.5992221200932195
Amsterdam,393.4572211937291,Private room,2.0,0,0,1,1.4993631412343562
Amsterdam,232.23115318819865,Private room,2.0,0,0,0,3.716679326293173
Amsterdam,774.2600707707451,Entire home/apt,2.0,0,0,1,1.8105403189141107
Amsterdam,291.0505471844023,Private room,2.0,0,0,1,0.6539669819722009
Amsterdam,604.5977550207392,Entire home/apt,4.0,1,0,1,1.8831520950903005
Amsterdam,467.0400487427648,Entire home/apt,2.0,0,0,1,1.4071102007540723
